DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE
12/2/18 13:00,at Texans,-5.5,Browns,47.5,200,-220
12/2/18 13:00,Colts,-4,at Jaguars,45.5,-205,188
12/2/18 13:00,at Dolphins,-3.5,Bills,39.5,175,-190
12/2/18 13:00,at Falcons,-2.5,Ravens,46.5,125,-135
12/2/18 13:00,Broncos,-4,at Bengals,44.5,-190,175
12/2/18 13:00,Bears,-4,at Giants,43.5,-190,175
12/2/18 13:00,Panthers,-3.5,at Buccaneers,51.5,-178,167
12/2/18 16:05,at Titans,-9.5,Jets,40,380,-430
12/2/18 16:05,Chiefs,-14,at Raiders,53.5,-900,700
12/2/18 16:25,at Patriots,-6,Vikings,49,220,-240
12/2/18 16:25,at Seahawks,-9.5,49ers,45,390,-440
12/2/18 20:20,at Steelers,-3,Chargers,53.5,160,-170
12/3/18 20:15,at Eagles,-6,Redskins,45,220,-240
12/6/18 20:20,at Titans,-5.5,Jaguars,37,215,-235
12/9/18 13:00,Giants,-3,at Redskins,40,-158,148
12/9/18 13:00,Saints,-9,at Buccaneers,55,-410,365
12/9/18 13:00,Patriots,-9.5,at Dolphins,49.5,-420,375
12/9/18 13:00,at Bills,-4.5,Jets,37,188,-205
12/9/18 13:00,Panthers,-1,at Browns,48,-105,-105
12/9/18 13:00,at Packers,-4,Falcons,50.5,170,-185
12/9/18 13:00,at Texans,-4,Colts,49,180,-195
12/9/18 13:00,at Chiefs,-6.5,Ravens,48.5,245,-265
12/9/18 16:05,at Chargers,-16.5,Bengals,48.5,950,-1150
12/9/18 16:05,Broncos,-3,at 49ers,45.5,-152,142
12/9/18 16:25,Lions,-2.5,at Cardinals,39.5,-130,120
12/9/18 16:25,Steelers,-9.5,at Raiders,51,-475,420
12/9/18 16:25,at Cowboys,-3,Eagles,45.5,163,-173
12/9/18 20:20,Rams,-3,at Bears,51,-147,137
12/10/18 20:15,at Seahawks,-3,Vikings,45.5,146,-156
12/13/18 20:20,at Chiefs,-4,Chargers,54.5,177,-192
12/15/18 16:30,Texans,-7,at Jets,44.5,-300,270
12/15/18 20:20,at Broncos,-2,Browns,47,115,-125
