,Unnamed: 0,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,H/A
60,60,Los Angeles Chargers,-9.5,San Francisco 49ers,46.5,370,-415,H
61,61,Pittsburgh Steelers,-3.0,Baltimore Ravens,51.0,145,-155,H
62,62,Kansas City Chiefs,-3.5,Denver Broncos,53.0,-180,168,A
63,63,New England Patriots,-11.0,Indianapolis Colts,49.5,500,-600,H
64,64,Kansas City Chiefs,-3.0,Jacksonville Jaguars,48.0,145,-155,H
65,65,Tennessee Titans,-6.5,Buffalo Bills,38.0,-270,248,A
66,66,Carolina Panthers,-6.5,New York Giants,43.5,255,-280,H
67,67,Cincinnati Bengals,-6.5,Miami Dolphins,48.0,240,-260,H
68,68,Baltimore Ravens,-3.0,Cleveland Browns,44.5,-162,152,A
69,69,Green Bay Packers,-1.0,Detroit Lions,50.0,102,-112,A
70,70,Denver Broncos,-1.0,New York Jets,42.0,-103,-107,A
71,71,Pittsburgh Steelers,-3.5,Atlanta Falcons,57.0,165,-175,H
72,72,Los Angeles Chargers,-4.5,Oakland Raiders,51.5,200,-220,H
73,73,Los Angeles Rams,-7.5,Seattle Seahawks,50.5,-325,295,A
74,74,San Francisco 49ers,-3.0,Arizona Cardinals,40.5,146,-156,H
75,75,Philadelphia Eagles,-3.0,Minnesota Vikings,48.5,165,-175,H
76,76,Houston Texans,-3.0,Dallas Cowboys,45.5,155,-165,H
77,77,New Orleans Saints,-6.0,Washington Redskins,51.5,235,-255,H
78,78,Philadelphia Eagles,-1.5,New York Giants,45.5,-122,112,A
79,79,New York Jets,-2.5,Indianapolis Colts,48.0,125,-135,H
80,80,Seattle Seahawks,-3.0,Oakland Raiders,47.5,-145,135,A
81,81,Carolina Panthers,-1.0,Washington Redskins,44.5,-112,102,A
82,82,Atlanta Falcons,-3.0,Tampa Bay Buccaneers,57.5,143,-153,H
83,83,Cincinnati Bengals,-2.0,Pittsburgh Steelers,49.5,113,-123,H
84,84,Los Angeles Chargers,-1.0,Cleveland Browns,47.0,-105,-105,A
85,85,Houston Texans,-10.0,Buffalo Bills,40.5,405,-455,H
86,86,Chicago Bears,-7.0,Miami Dolphins,40.5,-315,285,A
87,87,Minnesota Vikings,-9.5,Arizona Cardinals,43.5,375,-420,H
88,88,Los Angeles Rams,-7.0,Denver Broncos,50.0,-305,275,A
89,89,Baltimore Ravens,-2.5,Tennessee Titans,43.5,-128,118,A
90,90,Jacksonville Jaguars,-3.0,Dallas Cowboys,40.0,-165,155,A
91,91,New England Patriots,-3.5,Kansas City Chiefs,59.0,170,-185,H
92,92,Green Bay Packers,-9.0,San Francisco 49ers,46.5,375,-420,H
93,93,Denver Broncos,-1.0,Arizona Cardinals,42.0,-105,-105,A
94,94,Los Angeles Chargers,-6.5,Tennessee Titans,46.0,248,-270,H
95,95,Detroit Lions,-3.0,Miami Dolphins,47.0,-155,145,A
96,96,Minnesota Vikings,-3.0,New York Jets,44.5,-165,155,A
97,97,Philadelphia Eagles,-4.5,Carolina Panthers,45.0,200,-220,H
98,98,New England Patriots,-1.0,Chicago Bears,49.0,-113,103,H
99,99,Indianapolis Colts,-7.0,Buffalo Bills,43.5,260,-290,H
100,100,Jacksonville Jaguars,-4.0,Houston Texans,43.0,170,-185,H
101,101,Tampa Bay Buccaneers,-3.5,Cleveland Browns,52.0,170,-185,H
102,102,Baltimore Ravens,-2.5,New Orleans Saints,49.5,124,-134,H
103,103,Dallas Cowboys,-1.0,Washington Redskins,40.5,-120,110,A
104,104,Los Angeles Rams,-9.5,San Francisco 49ers,51.5,-405,360,A
105,105,Kansas City Chiefs,-6.0,Cincinnati Bengals,56.5,240,-260,H
106,106,Atlanta Falcons,-4.0,New York Giants,52.5,185,-200,H
107,107,Houston Texans,-7.5,Miami Dolphins,45.0,315,-345,H
108,108,Philadelphia Eagles,-3.5,Jacksonville Jaguars,44.5,-190,175,A
109,109,Kansas City Chiefs,-8.5,Denver Broncos,53.5,335,-375,H
110,110,Baltimore Ravens,-2.5,Carolina Panthers,44.5,-137,127,A
111,111,Chicago Bears,-9.0,New York Jets,42.0,320,-355,H
112,112,Cincinnati Bengals,-3.5,Tampa Bay Buccaneers,54.5,170,-185,H
113,113,Detroit Lions,-3.0,Seattle Seahawks,48.0,150,-160,H
114,114,Washington Redskins,-1.0,New York Giants,44.0,-105,-105,A
115,115,Pittsburgh Steelers,-9.0,Cleveland Browns,47.5,348,-390,H
116,116,Indianapolis Colts,-3.0,Oakland Raiders,51.0,-178,167,A
117,117,San Francisco 49ers,-2.5,Arizona Cardinals,40.0,-140,130,A
118,118,Los Angeles Rams,-7.5,Green Bay Packers,57.0,315,-345,H
119,119,New Orleans Saints,-2.5,Minnesota Vikings,54.0,-131,121,A
