,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,H/A
188,Patriots,-6.0,Vikings,49.0,220,-240,H
189,Seahawks,-9.5,49ers,45.0,390,-440,H
190,Steelers,-3.0,Chargers,53.5,160,-170,H
191,Eagles,-6.0,Redskins,45.0,220,-240,H
192,Titans,-5.5,Jaguars,37.0,215,-235,H
193,Giants,-3.0,Redskins,40.0,-158,148,A
194,Saints,-9.0,Buccaneers,55.0,-410,365,A
195,Patriots,-9.5,Dolphins,49.5,-420,375,H
196,Bills,-4.5,Jets,37.0,188,-205,H
197,Panthers,-1.0,Browns,48.0,-105,-105,A
198,Packers,-4.0,Falcons,50.5,170,-185,H
199,Texans,-4.0,Colts,49.0,180,-195,H
200,Chiefs,-6.5,Ravens,48.5,245,-265,H
201,Chargers,-16.5,Bengals,48.5,950,-1150,H
202,Broncos,-3.0,49ers,45.5,-152,142,A
203,Lions,-2.5,Cardinals,39.5,-130,120,A
204,Steelers,-9.5,Raiders,51.0,-475,420,A
205,Cowboys,-3.0,Eagles,45.5,163,-173,H
206,Rams,-3.0,Bears,51.0,-147,137,A
207,Seahawks,-3.0,Vikings,45.5,146,-156,H
208,Chiefs,-4.0,Chargers,54.5,177,-192,H
209,Texans,-7.0,Jets,44.5,-300,270,A
210,Broncos,-2.0,Browns,47.0,115,-125,H
211,Colts,-3.0,Cowboys,47.0,157,-167,H
212,Jaguars,-7.0,Redskins,36.5,275,-305,H
213,Bears,-6.0,Packers,46.5,210,-230,H
214,Bengals,-3.0,Raiders,45.5,143,-153,H
215,Falcons,-9.0,Cardinals,43.5,355,-400,H
216,Ravens,-8.5,Buccaneers,44.5,320,-355,H
217,Bills,-2.5,Lions,39.5,135,-145,H
218,Vikings,-8.0,Dolphins,45.0,310,-340,H
219,Titans,-2.5,Giants,42.0,-130,120,A
220,Seahawks,-4.0,49ers,44.0,-200,185,A
221,Patriots,-2.5,Steelers,55.5,-135,125,H
222,Rams,-13.5,Eagles,52.5,640,-810,H
223,Saints,-6.0,Panthers,50.5,-235,215,A
224,Titans,-12.0,Redskins,38.0,500,-600,H
225,Chargers,-4.0,Ravens,42.5,190,-210,H
226,Dolphins,-3.0,Jaguars,39.5,155,-165,H
227,Patriots,-14.0,Bills,45.0,635,-800,H
228,Falcons,-3.0,Panthers,46.0,-148,138,A
229,Browns,-10.0,Bengals,44.0,355,-400,H
230,Cowboys,-7.0,Buccaneers,48.0,295,-325,H
231,Vikings,-6.5,Lions,42.5,-270,248,A
232,Colts,-9.5,Giants,48.0,390,-440,H
233,Packers,-3.0,Jets,47.0,-155,145,A
234,Eagles,-2.0,Texans,46.5,112,-122,H
235,Rams,-14.0,Cardinals,44.0,-700,568,A
236,Bears,-3.5,49ers,43.5,-185,170,A
237,Saints,-6.5,Steelers,53.5,245,-265,H
238,Chiefs,-1.0,Seahawks,54.5,-112,102,A
239,Broncos,-1.5,Raiders,42.5,-123,113,A
240,Packers,-7.5,Lions,44.5,280,-310,H
241,Texans,-7.0,Jaguars,39.5,275,-305,H
242,Patriots,-13.5,Jets,46.5,635,-800,H
243,Saints,-7.5,Panthers,41.5,295,-325,H
244,Giants,-7.5,Cowboys,38.5,280,-310,H
245,Bills,-5.5,Dolphins,39.5,220,-240,H
246,Falcons,-2.5,Buccaneers,52.0,-140,130,A
247,Chargers,-6.5,Broncos,43.5,-290,260,A
248,Ravens,-7.0,Browns,41.0,260,-290,H
249,Eagles,-6.0,Redskins,43.0,-240,220,A
250,Steelers,-13.5,Bengals,46.0,575,-710,H
251,Seahawks,-15.0,Cardinals,40.0,675,-860,H
252,Chiefs,-14.0,Raiders,53.0,700,-900,H
253,Rams,-10.5,49ers,50.0,390,-440,H
254,Vikings,-5.5,Bears,39.5,215,-235,H
255,Colts,-5.5,Titans,42.5,-235,215,A
